,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,recent_px,intrinsic_value,option_px,extrinsic_value,yield
87,TQQQ210618C00086000,2020-10-26 18:06:21,86.0,59.85,73.75,76.7,0.0,0.0,4.0,119,17.463871730041507,True,REGULAR,USD,110.1709976196289,24.170997619628906,75.225,51.05400238037109,0.46340691727815414
88,TQQQ210618C00087000,2020-11-09 15:15:18,87.0,79.19,90.4,93.75,0.0,0.0,3.0,205,25.30664271667481,True,REGULAR,USD,110.1709976196289,23.170997619628906,92.075,68.9040023803711,0.6254277792624312
89,TQQQ210618C00087500,2021-06-15 15:40:43,87.5,22.84,22.85,23.1,-1.3099995,-5.4244285,17.0,1747,1.3535188574218748,True,REGULAR,USD,110.1709976196289,22.670997619628906,22.975,0.30400238037109517,0.002759368499327556
90,TQQQ210618C00088000,2020-11-06 16:13:35,88.0,72.05,86.4,87.5,0.0,0.0,1.0,3,22.61816699432373,True,REGULAR,USD,110.1709976196289,22.170997619628906,86.95,64.7790023803711,0.5879859834257285
91,TQQQ210618C00089000,2021-06-07 13:43:41,89.0,14.85,21.4,21.6,0.0,0.0,2.0,44,1.29297228515625,True,REGULAR,USD,110.1709976196289,21.170997619628906,21.5,0.32900238037109375,0.002986288474095438
92,TQQQ210618C00090000,2021-06-15 17:15:50,90.0,20.28,20.4,20.55,-0.6700001,-3.198091,90.0,1334,1.2168007910156249,True,REGULAR,USD,110.1709976196289,20.170997619628906,20.475,0.30400238037109517,0.002759368499327556
93,TQQQ210618C00091000,2021-06-09 17:36:07,91.0,15.8,19.4,19.6,0.0,0.0,2.0,14,1.18359783203125,True,REGULAR,USD,110.1709976196289,19.170997619628906,19.5,0.32900238037109375,0.002986288474095438
94,TQQQ210618C00092000,2021-06-15 16:14:31,92.0,18.98,18.45,18.6,0.12999916,0.6896507,1.0,122,1.1484417578125,True,REGULAR,USD,110.1709976196289,18.170997619628906,18.525,0.35400238037109233,0.00321320844886332
95,TQQQ210618C00092500,2021-06-15 16:16:45,92.5,18.45,17.9,18.1,-1.1700001,-5.963303,13.0,664,1.1015669921875002,True,REGULAR,USD,110.1709976196289,17.670997619628906,18.0,0.32900238037109375,0.002986288474095438
96,TQQQ210618C00093000,2020-11-17 18:51:41,93.0,66.3,76.3,78.3,0.0,0.0,1.0,12,18.78955490951538,True,REGULAR,USD,110.1709976196289,17.170997619628906,77.3,60.12900238037109,0.5457788681189
97,TQQQ210618C00093500,2021-06-09 13:49:17,93.5,13.5,16.95,17.15,0.0,0.0,3.0,37,1.08203583984375,True,REGULAR,USD,110.1709976196289,16.670997619628906,17.049999999999997,0.3790023803710909,0.003440128423631202
98,TQQQ210618C00094000,2021-06-14 19:44:05,94.0,17.3,16.45,16.65,0.0,0.0,65.0,615,1.0546922265625,True,REGULAR,USD,110.1709976196289,16.170997619628906,16.549999999999997,0.3790023803710909,0.003440128423631202
99,TQQQ210618C00094500,2021-06-07 17:46:19,94.5,10.1,15.95,16.15,0.0,0.0,3.0,46,1.0273486132812502,True,REGULAR,USD,110.1709976196289,15.670997619628906,16.049999999999997,0.3790023803710909,0.003440128423631202
100,TQQQ210618C00095000,2021-06-15 17:16:51,95.0,15.27,15.45,15.65,-0.87999916,-5.448911,113.0,841,0.9995117236328125,True,REGULAR,USD,110.1709976196289,15.170997619628906,15.55,0.37900238037109446,0.0034401284236312345
101,TQQQ210618C00095500,2021-06-08 16:15:49,95.5,10.38,14.95,15.15,0.0,0.0,5.0,20,0.9726565234375,True,REGULAR,USD,110.1709976196289,14.670997619628906,15.05,0.37900238037109446,0.0034401284236312345
102,TQQQ210618C00096000,2021-06-14 18:59:10,96.0,14.9,14.45,14.7,0.0,0.0,114.0,471,0.9599613378906249,True,REGULAR,USD,110.1709976196289,14.170997619628906,14.575,0.40400238037109304,0.0036670483983991162
103,TQQQ210618C00096500,2021-06-15 16:46:46,96.5,14.31,13.95,14.15,4.1100006,40.294125,41.0,84,0.9169930175781251,True,REGULAR,USD,110.1709976196289,13.670997619628906,14.05,0.37900238037109446,0.0034401284236312345
104,TQQQ210618C00097000,2021-06-15 15:20:48,97.0,14.05,13.45,13.7,-0.72000027,-4.874748,13.0,517,0.90429783203125,True,REGULAR,USD,110.1709976196289,13.170997619628906,13.575,0.40400238037109304,0.0036670483983991162
105,TQQQ210618C00097500,2021-06-15 17:22:23,97.5,13.05,12.95,13.25,-0.75,-5.4347825,47.0,863,0.8896495410156249,True,REGULAR,USD,110.1709976196289,12.670997619628906,13.1,0.4290023803710934,0.0038939683731670145
106,TQQQ210618C00098000,2021-06-15 17:08:35,98.0,12.55,12.55,12.7,-1.4499998,-10.3571415,1179.0,2301,0.87500125,True,REGULAR,USD,110.1709976196289,12.170997619628906,12.625,0.45400238037109375,0.004120888347934912
107,TQQQ210618C00098500,2021-06-14 15:05:01,98.5,12.31,12.05,12.25,0.0,0.0,2.0,55,0.85937640625,True,REGULAR,USD,110.1709976196289,11.670997619628906,12.15,0.4790023803710941,0.0043478083227028105
108,TQQQ210618C00099000,2021-06-14 19:56:03,99.0,12.8,11.55,11.8,-0.09999943,-0.7751894,1.0,201,0.842775009765625,True,REGULAR,USD,110.1709976196289,11.170997619628906,11.675,0.5040023803710945,0.004574728297470709
109,TQQQ210618C00099500,2021-06-10 16:52:53,99.5,9.15,11.1,11.3,0.0,0.0,1.0,32,0.8251970605468748,True,REGULAR,USD,110.1709976196289,10.670997619628906,11.2,0.529002380371093,0.0048016482722385906
110,TQQQ210618C00100000,2021-06-15 17:54:26,100.0,10.75,10.65,10.8,-1.3900003,-11.449755,235.0,4185,0.80664255859375,True,REGULAR,USD,110.1709976196289,10.170997619628906,10.725000000000001,0.5540023803710952,0.005028568247006505
111,TQQQ210618C00101000,2021-06-15 15:19:47,101.0,10.29,9.65,9.9,-0.6199999,-5.682859,8.0,310,0.7680687255859376,True,REGULAR,USD,110.1709976196289,9.170997619628906,9.775,0.6040023803710941,0.005482408196542285
112,TQQQ210618C00102000,2021-06-15 17:22:23,102.0,8.66,8.75,8.95,-1.5500002,-15.181197,14.0,531,0.735354208984375,True,REGULAR,USD,110.1709976196289,8.170997619628906,8.85,0.6790023803710934,0.0061631681208459636
113,TQQQ210618C00102500,2021-06-15 17:02:41,102.5,8.26,8.3,8.5,-1.5599995,-15.8859415,20.0,467,0.7221707470703125,True,REGULAR,USD,110.1709976196289,7.670997619628906,8.4,0.7290023803710941,0.00661700807038176
